query,label
Can you add this song to my playlist?,add
I'd like to add this track to the playlist.,add
Please include this song in my playlist.,add
Add this to my song list.,add
"Put this track into my playlist, please.",add
Could you remove this song from my playlist?,remove
Please take this song out of my playlist.,remove
I want this song removed from the list.,remove
Delete this song from my playlist.,remove
Delete this song from my playlist.,remove
Delete this song from my playlist.,remove
Delete this song from my playlist.,remove
Erase this track from my playlist.,remove
Erase this track from my playlist.,remove
Erase this track from my playlist.,remove
Erase this track from my playlist.,remove
Show me the songs currently in my playlist.,show
Display my current playlist.,show
Could you show my playlist?,show
Let me see the playlist I have.,show
Show what’s on my playlist right now.,show
Clear all the songs in my playlist.,clear
Clear all the songs in my playlist.,clear
Clear all the songs in my playlist.,clear
Clear all the songs in my playlist.,clearn
Please empty my playlist.,clear
Please empty my playlist.,clear
Please empty my playlist.,clear
Please empty my playlist.,clear
Remove every song from my playlist.,clear
Clear out the entire playlist.,clear
Erase all items from my playlist.,clear
When was this album released?,date album
Can you tell me the release date of this album?,date album
What is the release year of this album?,date album
When did this album come out?,date album
Tell me when this album was released.,date album
How many songs does this artist have?,number songs
Give me the total number of songs by this artist.,number songs
Can you tell me how many songs this artist has?,number songs
What’s the song count for this artist?,number songs
Please show me the number of songs by this artist.,number songs
How many albums has this artist released?,number albums
What’s the total number of albums by this artist?,number albums
Could you give me the album count for this artist?,number albums
Tell me how many albums this artist has.,number albums
I’d like to know the number of albums by this artist.,number albums
Which album is this song part of?,which album
Can you tell me which album has this song?,which album
What album does this song belong to?,which album
Tell me the album containing this song.,which album
I need to know the album for this song.,which album
I would like to what is the release year of this album?,date album
Clear all the songs in my playlist.,clear
I need to know the album for a song.,which album
Could you tell me which album has this song?,which album
When did this album come out? please.,date album
I would like to how many songs does this artist have?,number songs
Please show me the number of songs by this artist. please.,number songs
Could you tell me which album has a song,which album
I would like to let me see the playlist i have.,show
Clear all the songs in my playlist.,clear
I would like to i'd like to add this track to the playlist.,add
What’s the song count for a artist,number songs
I would like to please include this song in my playlist.,add
Erase a track from my playlist.,remove
Add this to my song list.,add
Tell me when this album was released.,date album
Erase a track from my playlist.,remove
I would like to please empty my playlist.,clear
I would like to could you tell me which album has a song,which album
"Put this track into my playlist, please.",add
Could you tell me which album has this song? please.,which album
I want a song removed from the list.,remove
Remove every song from my playlist.,clear
Remove every song from my playlist.,clear
Remove every song from my playlist.,clear
Add this to my song list. please.,add
Could you give me the album count for a artist,number albums
Could you give me the album count for this artist?,number albums
What’s the song count for a artist,number songs
Clear out the entire playlist.,clear
Erase a track from my playlist.,remove
Erase a track from my playlist.,remove
Erase a track from my playlist.,remove
Can you tell me how many songs this artist has?,number songs
Can you add this song to my playlist? please.,add
I’d like to know the number of albums by a artist.,number albums
Could you give me the album count for a artist,number albums
What is the release year of this album? please.,date album
I would like to what is the release year of this album?,date album
I would like to show what’s on my playlist right now.,show
Which album is this song part of?,which album
"Put this track into my playlist, please. please.",add
Display my current playlist.,show
I would like to please empty my playlist.,clear
Tell me how many albums this artist has.,number albums
Add this to my song list.,add
I would like to could you remove this song from my playlist?,remove
I would like to could you remove this song from my playlist?,remove
I would like to i would like to please empty my playlist.,clear
When was this album released?,date album
Please take this song out of my playlist.,remove
Could you tell me how many songs this artist has?,number songs
"Put this track into my playlist, please. please.",add
Could you tell me how many songs this artist has?,number songs
When did this album come out?,date album
Give me the total number of songs by this artist.,number songs
Could you tell me the release date of this album?,date album
I would like to could you remove this song from my playlist?,remove
I would like to what’s the total number of albums by this artist?,number albums
Add this to my song list. please. please.,add
Add this to my song list. please. please. please.,add
Add this to my song list. please.,add
Add this to my song list.,add
I’d like to know the number of albums by this artist.,number albums
Let me see the playlist I have. please.,show
Let me see the playlist I have.,show
Could you give me the album count for a artist,number albums
I would like to show what’s on my playlist right now.,show
I would like to how many songs does this artist have? please.,number songs
I would like to clear all the songs in my playlist.,clear
I would like to could you tell me which album has this song? please.,which album
I would like to show what’s on my playlist right now.,show
I would like to i need to know the album for this song.,which album
